episode,score,scoreMax,scoreAvg,memoryLength,epsilon,qAvg,avgLoss
  131, 4.0, 5.0, 1.3,44737,1.000,0.01,0.00
  132, 0.0, 5.0, 1.1,44947,1.000,0.01,0.00
  133, 0.0, 5.0, 1.0,45223,1.000,0.01,0.00
  134, 2.0, 5.0, 1.1,45686,1.000,0.01,0.00
  135, 1.0, 5.0, 1.1,46034,1.000,0.01,0.00
  136, 0.0, 5.0, 1.0,46290,1.000,0.01,0.00
  137, 2.0, 5.0, 1.1,46670,1.000,0.01,0.00
  138, 2.0, 5.0, 1.2,47051,1.000,0.01,0.00
  139, 0.0, 5.0, 1.1,47307,1.000,0.01,0.00
  140, 3.0, 5.0, 1.3,47734,1.000,0.01,0.00
  141, 0.0, 5.0, 1.1,47991,1.000,0.01,0.00
  142, 2.0, 5.0, 1.2,48378,1.000,0.01,0.00
  143, 0.0, 5.0, 1.1,48657,1.000,0.01,0.00
  144, 0.0, 5.0, 1.0,48928,1.000,0.01,0.00
  145, 1.0, 5.0, 1.0,49230,1.000,0.01,0.00
  146, 0.0, 5.0, 0.9,49500,1.000,0.01,0.00
  147, 2.0, 5.0, 1.0,49952,1.000,0.01,0.00
  148, 1.0, 5.0, 1.0,50266,1.000,0.14,0.00
  149, 0.0, 5.0, 0.9,50487,1.000,0.17,0.00
  150, 3.0, 5.0, 1.1,50958,1.000,0.17,0.00
  151, 0.0, 5.0, 1.0,51221,0.999,0.17,0.00
  152, 1.0, 5.0, 1.0,51545,0.999,0.17,0.00
  153, 1.0, 5.0, 1.0,51924,0.999,0.17,0.00
  154, 1.0, 5.0, 1.0,52307,0.999,0.17,0.00
  155, 1.0, 5.0, 1.0,52661,0.999,0.17,0.00
  156, 5.0, 5.0, 1.4,53315,0.999,0.17,0.00
  157, 0.0, 5.0, 1.3,53559,0.998,0.16,0.00
  158, 0.0, 5.0, 1.1,53837,0.998,0.16,0.00
  159, 5.0, 5.0, 1.5,54478,0.998,0.16,0.00
  160, 4.0, 5.0, 1.8,55087,0.998,0.16,0.00
  161, 0.0, 5.0, 1.6,55301,0.998,0.17,0.00
  162, 0.0, 5.0, 1.4,55557,0.998,0.16,0.00
  163, 3.0, 5.0, 1.6,56161,0.997,0.17,0.00
  164, 2.0, 5.0, 1.6,56608,0.997,0.17,0.00
  165, 1.0, 5.0, 1.6,56966,0.997,0.17,0.00
  166, 1.0, 5.0, 1.5,57335,0.997,0.17,0.00
  167, 0.0, 5.0, 1.4,57569,0.997,0.17,0.00
  168, 0.0, 5.0, 1.2,57826,0.997,0.17,0.00
  169, 0.0, 5.0, 1.1,58054,0.997,0.16,0.00
  170, 3.0, 5.0, 1.3,58608,0.996,0.16,0.00
  171, 0.0, 5.0, 1.2,58871,0.996,0.17,0.00
  172, 0.0, 5.0, 1.0,59110,0.996,0.16,0.00
  173, 2.0, 5.0, 1.1,59504,0.996,0.16,0.00
  174, 1.0, 5.0, 1.1,59791,0.996,0.17,0.00
  175, 0.0, 5.0, 1.0,60018,0.996,0.17,0.00
  176, 1.0, 5.0, 1.0,60385,0.996,0.16,0.00
  177, 4.0, 5.0, 1.3,61023,0.995,0.16,0.00
  178, 1.0, 5.0, 1.3,61368,0.995,0.16,0.00
  179, 2.0, 5.0, 1.4,61800,0.995,0.15,0.00
  180, 2.0, 5.0, 1.4,62198,0.995,0.16,0.00
  181, 2.0, 5.0, 1.5,62650,0.995,0.16,0.00
  182, 2.0, 5.0, 1.5,63066,0.994,0.16,0.00
  183, 2.0, 5.0, 1.6,63511,0.994,0.16,0.00
